# Identificador    RA          DE         Plx     
  5214705   80.4460560246    8.30045284333   0.2861  
  5215084   80.46184539726   8.28822122874   0.4311  
  5215365   80.47360979292   7.72065425074   0.4496  
  5212893   80.37057179201   8.33493762674   1.0185  
  5211764   80.32357985814   8.35259709632   1.1536  
  5213374   80.39066141843   8.31963465693   0.5458  
  5213039   80.37660080318   8.37354860818   0.5189  
  5214948   80.45616459524   8.32875813141   0.1578  
  5215824   80.49266682354   8.37289032399   0.7153  
  5214523   80.43846584615   8.37311188947   0.1504  
  5221373   80.55721837856   8.36894624843   0.0471  
  5221366   80.55686053537   8.35256366788   0.2802  
  5222633   80.60970780457   8.08403001646   0.5689  
  5222297   80.59577008871   8.36830521423   1.1045  
  5213408   80.39204818313   8.43662867434   2.0193  
  5213070   80.37791836061   8.40579830993   0.3464  
  5214011   80.417158697     8.40854429301   0.2787  
  5214975   80.45732114284   8.41456677325   0.2268  
  5220477   80.51989046684   8.43270070569   0.1291  
  5221238   80.55158120406   8.38728033949   0.6541  
  5212243   80.34349241745   8.47717359708   0.9951  
  5212833   80.36806643903   8.46818393921   0.374   
  5211753   80.32309837993   8.4423188484    0.6481  
  5213567   80.39863973707   8.44070218918   0.4861  
  5215132   80.46390812046   8.08372919626   1.9183  
  5214748   80.44783749846   8.47647560671   0.5977  
  5221399   80.55833183377   8.48187333967   2.8927  
  5222625   80.60933410823   8.4599515253    1.9381  
  5211689   80.32039258153   8.41314898428   2.5185  
  5214444   80.43520074808   8.53740113828   0.9455  
  5215760   80.49000150751   8.52794244109   0.2534  
  5220511   80.52130346756   8.55485719287   0.4124  
  5212854   80.3689559584    8.5746650881    0.4314  
  5212999   80.37498327939   8.56662652097   0.3901  
  5212278   80.34494718131   8.56406481407   0.5156  
  5213812   80.40885654826   8.14365724061   1.2119  
  5221072   80.54469724629   7.79678880056   0.9025  
  5212072   80.33638019465   8.50210384228   2.4103  
  5214874   80.45310394365   8.61860765067   0.849   
  5215040   80.46002164518   8.59084304925   0.5628  
  5214792   80.44968873277   8.61496463129   0.8844  
  5222466   80.60274633095   8.60666798745   1.1788  
  5222105   80.58774154918   8.61892266085   0.4219  
  5222552   80.6062587163    8.60723979269   0.3348  
  5214423   80.43436666206   8.67795415885   0.1955  
  5214097   80.42071722247   8.64438791505   0.8832  
  5214818   80.45080257593   8.66349855346   0.5187  
  5214942   80.45594533253   8.68480560071   1.3259  
  5215902   80.49601848315   8.09664039678   1.1511  
  5221458   80.56080220018   8.65731729387   0.6196  
  5221067   80.54448663133   8.65661803557   0.2908  
  5221618   80.56749240227   8.63060088036   0.409   
  5211625   80.31771184543   8.71142469464   0.3894  
  5215544   80.48100977695   8.69951978567   0.6111  
  5215005   80.45863599119   8.68950394726   0.2165  
  5214869   80.45288873332   8.68972246028   1.0099  
  5214853   80.45222296742   8.69055994983   1.1326  
  5220543   80.5225218186    8.71862895542   0.4429  
  5220512   80.52131669392   8.72427571505   1.9006  
  5220269   80.51116551802   8.29930514381   0.0901  
  5220957   80.53994400808   8.70955812141   0.0125  
  5220921   80.53841253601   8.72980540053   4.1361  
  5220757   80.53156729636   8.72550482064   0.5954  
  5222829   80.61791222337   8.70179782563   0.2546  
  5222684   80.6118849357    7.7360580855    0.716   
  5222299   80.59582673451   8.71949214647   0.8204  
  5211956   80.3315651706    8.77009138551   0.5411  
  5213724   80.40528416053   8.76941319556   2.3014  
  5214267   80.42778742056   8.76278877184   0.6808  
  5215337   80.47242544034   8.75163883512   0.1759  
  5214650   80.44377842125   8.78180616222   0.4483  
  5220361   80.51504824669   8.76560151928   0.577   
  5212340   80.34753530486   8.84375241222   0.4783  
  5215640   80.48502776481   8.61243240848   0.8672  
  5220007   80.50033178884   8.8320346365    1.1053  
  5221484   80.56192029106   8.82576328297   0.9675  
  5220919   80.53833411469   8.83267123009   0.0962  
  5223599   80.64998007265   7.67819758679   0.6863  
  5224334   80.68060724249   8.30475078047   0.1569  
  5230511   80.77132392636   8.14370490497   0.065   
  5230602   80.7751160526    8.28026195974   0.2938  
  5223224   80.63421348315   8.34676972015   1.0411  
  5223183   80.63259590751   8.31840296812   0.7836  
  5225068   80.71116593384   8.31331040595   0.7163  
  5230345   80.7644158873    8.34505189722   0.3245  
  5230807   80.78365092799   8.02009221413   0.4651  
  5230858   80.78574763465   8.34327763771   0.7526  
  5231977   80.83233498464   7.92803110445   0.8575  
  5232713   80.8631156386    8.32441960321   0.4066  
  5233439   80.8933192146    8.33713901208   0.1802  
  5225947   80.74783950945   8.19891114049   1.1686  
  5225405   80.725215023     8.41697071746   0.6129  
  5224740   80.6974616202    8.43090566026   0.173   
  5231036   80.79318032089   8.42665418127   0.9604  
  5230996   80.79155429199   8.38537833269   0.505   
  5233763   80.90683863942   8.09947031242   0.5085  
  5233027   80.87618360954   8.05212580593   0.3482  
  5223863   80.66098657963   8.45680152636   0.281   
  5223840   80.66001882523   8.46001339672   0.4676  
  5232330   80.84712905877   8.46211222872   0.1799  
  5232442   80.85178491385   8.49883748892   0.1001  
  5232571   80.85722685259   8.44971730672   0.6717  
  5232465   80.85276116839   8.4384236658    0.6828  
  5232256   80.84398088385   8.4378986128    1.0668  
  5233446   80.89363339613   8.49209766602   0.5051  
  5233959   80.91502990525   8.46239029684   0.1564  
  5233336   80.88906054979   8.47418534566   0.2123  
  5224067   80.66945422104   8.50336200284   0.5539  
  5224581   80.69086847663   8.54264184258   0.2331  
  5225497   80.72907901551   7.9363624261    0.2124  
  5225178   80.71593789064   7.92661921436   0.4985  
